Time_s,Classical_LNA_Output,Quantum_LNA_Output,Classical_Filtered,Quantum_Filtered,Classical_SAR_ADC,Quantum_DS_ADC
0,3.29993326664751,-0.187397240083873,0.153720483266735,-0.00872950813875427,0.153534521116399,0
0.001,3.299893917945,1.40896665600385,0.888824635157483,0.0238884232390472,0.888704321515764,1.67578125
0.002,3.29983520644235,2.84450702259394,2.2815322673699,0.367282304178137,2.28194009416745,1.98515625
0.003,3.29983163402722,2.78754783928336,3.51384800596272,1.28816968415263,3.3,2.93906249999999
0.004,3.29980966374296,1.48710380154182,3.81397577177925,2.39987391290393,3.3,3.29999999999999
0.005,3.29989312247334,3.28602487807855,3.44301536670342,2.87231112481617,3.3,3.29999999999999
0.006,3.29996240719039,3.24057626919661,3.13198516664335,2.66961443142033,3.13174202096671,3.29999999999999
0.007,3.29992697836566,3.28092810191393,3.15871546170062,2.61642226586389,3.15880276492955,3.29999999999999
0.008,3.29990475065171,3.26258183403247,3.31433624837866,3.03404870151288,3.3,3.29999999999999
0.009,3.29989150424754,3.25548336044875,3.37222787959964,3.42844436033676,3.3,3.29999999999999
0.01,3.2997617904447,3.27919050272623,3.32591861084524,3.4493660200157,3.3,3.29999999999999
0.011,3.2997708509115,3.29466405396866,3.27792509522384,3.27705586309759,3.2783806117534,3.29999999999999
0.012,3.29990096981286,3.28275978123621,3.27773516780634,3.19431217051398,3.27750937574091,3.29999999999999
0.013,3.29984452062929,3.30074233745968,3.30001733898687,3.24574013580866,3.3,3.29999999999999
0.014,3.30005116356783,3.2969305347036,3.31023192022533,3.31395211961965,3.3,3.29999999999999
0.015,3.30002127987008,3.28937378628625,3.30452611477476,3.32487146303403,3.3,3.29999999999999
0.016,3.30019092621249,3.29955025826538,3.29724970095788,3.29971231382988,3.29752098396717,3.29999999999999
0.017,-3.29981730497113,3.29878391911033,2.98924508504024,3.2833980930436,2.98918218394438,3.29999999999999
0.018,3.30031342027746,3.30065709180945,1.82966847332233,3.2888898673782,1.82941608361589,3.29999999999999
0.019,3.30035905840479,3.30091438251125,0.516208361461356,3.30104444415943,0.516286025340226,3.29999999999999
0.02,3.30030390058966,3.30008862435556,0.836342119015235,3.30545802385397,0.835932304128212,3.29999999999999
0.021,3.3002173222178,3.30078484033925,2.69965612268516,3.30240340381677,2.69973930848311,3.29999999999999
0.022,3.30043331203821,3.30066263430567,4.04168916701947,3.29909663674213,3.3,3.29999999999999
0.023,3.30042027734129,3.30048568571798,3.92232114212118,3.29904937514119,3.3,3.29999999999999
0.024,3.30047808410183,3.29926016329882,3.24719237853608,3.30053705082581,3.2464664677938,3.29999999999999
0.025,3.30062246494935,3.30065718959801,2.98943107576383,3.30101755564315,2.99004718001907,3.29999999999999
0.026,3.30077310837609,3.3006596229017,3.18474180759281,3.30035196051526,3.18442275823978,3.29999999999999
0.027,3.30085425162551,-3.29932505795694,3.39311352433283,2.99248570658375,3.3,3.29999999999999
0.028,3.30096549048436,3.30035965471851,3.39661233407009,1.83005106550713,3.3,3.29999999999999
0.029,3.30105376494749,3.29992540789704,3.3011847620925,0.515219364749414,3.3,3.29999999999999
0.03,3.30100465743515,3.30017935568906,3.25642149871186,0.835846893580289,3.25658100184987,3.29999999999999
0.031,3.30112675864906,3.30035116083936,3.28071000824472,2.69980696116357,3.28081510775127,3.29999999999999
0.032,3.3012550138494,3.30039410316477,3.3126429448494,4.04186134367431,3.3,3.29999999999999
0.033,3.30128026204442,3.30030759698678,3.31585304994738,3.92227400091176,3.3,3.29999999999999
0.034,3.30125126517743,3.30018186565315,3.30249475062584,3.24705428664648,3.3,3.29999999999999
0.035,3.30111346305672,3.30038715468216,3.29499113560759,2.98928331774219,3.29515435293068,3.29999999999999
0.036,3.30116625789837,3.30028024560562,3.29780993202111,3.18453392955251,3.29742947503331,3.29999999999999
0.037,3.30111599776174,3.30038064960914,3.30254462868976,3.39278749986431,3.3,3.29999999999999
0.038,3.30114612812546,3.30021896754087,3.30334226690273,3.39615745128879,3.3,3.29999999999999
0.039,3.30117491592276,3.30004851235988,3.30148385570232,3.30059606980005,3.3,3.29999999999999
0.04,3.30122470654615,3.2998181951338,3.30027723852285,3.25565466364752,3.29971944153486,3.29999999999999
0.041,3.30125820089617,-0.835575448405053,3.30062249103526,3.08707447553996,3.3,3.29999999999999
0.042,3.28652857547491,3.3001443269125,3.30069025089087,2.39022522817836,3.3,3.29999999999999
0.043,3.30134844898686,3.29963589712617,3.29830977276652,1.56923110147098,3.29842156313728,3.29999999999999
0.044,3.3010770738189,3.29951084535275,3.29514178575184,1.75679331750876,3.2951005708417,3.29999999999999
0.045,3.30115793248419,3.29795338122749,3.2956370545515,2.91726200555849,3.29567960864222,3.29999999999999
0.046,-3.2981581448253,3.30012497836715,2.99234082423115,3.76066846948149,2.99196180990395,3.29999999999999
0.047,3.30099561335789,3.29106773186359,1.83269936127488,3.68968973595099,1.83270538783819,3.29999999999999
0.048,3.3011464876419,3.29470057962353,0.517318714030106,3.26581209160434,0.517030551211937,3.29999999999999
0.049,3.29996751971071,3.25673458837159,0.836439593676954,3.09839024597751,0.83617061596175,3.29999999999999
0.05,3.30140398881085,3.28121099163774,2.69985485772273,3.21080437368001,2.69975734699853,3.29999999999999
0.051,3.30086042849347,3.28627611092456,4.04221535731093,3.33171211849221,3.3,3.29999999999999
0.052,3.29937989011591,3.27648862964525,3.92291869480871,3.33244102583084,3.3,3.29999999999999
0.053,3.29821445743358,3.22440122821261,3.24736081027822,3.27633206722863,3.24725983345885,3.29999999999999
0.054,3.29626683706929,3.20546364914798,2.98846601399839,3.23941569863801,2.98856267344693,3.29999999999999
0.055,3.29830048599621,2.93548675006392,3.1822324058054,3.21293697618198,3.1826528573124,3.29999999999999
0.056,3.29318514067458,3.26569053059503,3.38931431172338,3.15668088812107,3.3,3.29999999999999
0.057,3.283477353038,3.22552619897387,3.39131418580321,3.10387798143737,3.3,3.29999999999999
0.058,3.282512394284,3.2410727817158,3.29226572215304,3.13145290279605,3.29168598421828,3.29999999999999
0.059,3.28833315530468,3.2232359696893,3.24195295534928,3.21923604874776,3.24232761278478,3.29999999999999
0.06,3.28854952454092,3.26893575920051,3.26286047674521,3.27223749706806,3.26321921422221,3.29999999999999
0.061,3.26986590437488,3.25090387404933,3.29543461632335,3.26434249709686,3.29494478256883,3.29999999999999
0.062,3.25653677184421,3.22802865684409,3.29748419424623,3.24308144299114,3.29762926752535,3.29999999999999
0.063,3.25440650889025,3.22211091160516,3.27477867145829,3.23696636969542,3.27513404317028,3.29999999999999
0.064,3.27876395339337,3.00895992452346,3.2544888913495,3.22494579012669,3.25459862026908,3.29999999999999
0.065,3.15430172342287,2.77433687906159,3.24824430182704,3.15865403948404,3.24879313229815,3.29999999999999
0.066,3.24752354472324,3.22881201522279,3.23988886686419,3.03021426613945,3.2393904431336,3.29999999999999
0.067,3.26447834505326,3.06918579412358,3.2223901544069,2.94450567605405,3.22270250769159,3.29999999999999
0.068,3.11308563193865,3.1586185639524,3.21396193648456,3.00086221747726,3.21409043270572,3.29999999999999
0.069,3.25512777952025,2.467496178574,3.21264943159516,3.09536041818605,3.21329931568878,3.29999999999999
0.07,3.26441358593899,3.24640573850421,3.20649638927382,3.04308685687122,3.20661270293918,3.29999999999999
0.071,3.07778912949035,3.15688424814099,3.20688171028383,2.90785030191763,3.2067601758502,3.29999999999999
0.072,3.21743045119653,2.91888421330714,3.20512194137064,2.9185163597285,3.20508321886679,3.29999999999999
0.073,3.22483943814705,3.18106153231549,3.18494978889461,3.06220691324179,3.18473746508169,3.29999999999999
0.074,3.17637236354329,2.99004305571834,3.17443626649805,3.13724042010959,3.17451067305418,3.29999999999999
0.075,3.257932011986,2.8530495371263,3.19376246369721,3.08702532193904,3.19336348226895,3.29999999999999
0.076,3.27455316108247,2.97436432469282,3.2227048067912,2.98715967178588,3.22279089416617,3.29999999999999
0.077,3.28599845951931,3.02602001834153,3.24862616999184,2.91592132968887,3.24852357416202,3.29999999999999
0.078,3.29500923934578,3.06541369768845,3.27320339663266,2.92762257222222,3.27322004343089,3.29999999999999
0.079,3.29228293065648,3.2496563692832,3.29115139332949,3.01506770273086,3.29132286939921,3.29999999999999
0.08,3.26610003591869,3.28967272575267,3.29603764081686,3.12797688515797,3.29586609156957,3.29999999999999
0.081,3.2707275837154,3.26804733896893,3.28815085437834,3.22879581002071,3.28799366768551,3.29999999999999
0.082,3.28813801883288,3.28595369073687,3.27546550352813,3.29064607381976,3.27582907542029,3.29999999999999
0.083,3.28660392631212,3.27277427732114,3.27071956138703,3.30117339482703,3.27080897882869,3.29999999999999
0.084,3.29365910682512,3.28559105474372,3.2785972125885,3.28334704604295,3.27856996789466,3.29999999999999
0.085,3.28674181269716,3.2784981867066,3.28992894031155,3.27121207806905,3.28982489529906,3.29999999999999
0.086,3.28552161185189,3.27811795616087,3.29410122913607,3.27452444458675,3.29457383362866,3.29999999999999
0.087,3.29374244483817,3.26413885064523,3.29070638559408,3.28086279721199,3.29065095430119,3.29999999999999
0.088,3.27852990463235,-3.29634081010475,3.28656884720791,2.97284598273628,3.28667458034194,3.29999999999999
0.089,3.29242480675229,3.28727042416974,3.285622995562,1.80855866975275,3.28531546192649,3.29999999999999
0.09,3.29670722045719,3.26558233859804,3.28696250835971,0.497943036044315,3.28730974365133,3.29999999999999
0.091,3.29756969968371,3.19830714765005,3.29026980325666,0.818000524967675,3.29043960172218,3.29999999999999
0.092,3.29057840001965,3.19615127365456,3.29480978780427,2.65852765204666,3.2951253884905,3.29999999999999
0.093,3.29546922042749,3.22769667456821,3.29699618599587,3.96091935536027,3.29661785195353,3.29999999999999
0.094,3.30217505856599,3.27144154493332,3.29581271933347,3.81970303944924,3.29588491548673,3.29999999999999
0.095,3.29312531426691,2.77361951719366,3.29506255942925,3.14048218381725,3.29495323344365,3.29999999999999
0.096,3.28486335257734,3.28430289810073,3.29593204176477,2.83680476964841,3.29593688814209,3.29999999999999
0.097,3.27557680809572,3.26134428502746,3.2938160088994,2.96069989028995,3.29318601306927,3.29999999999999
0.098,3.27368136223718,3.26049864439246,3.28596670354048,3.19196308724703,3.28655380495344,3.29999999999999
0.099,3.28884627892918,3.24757263730786,3.27724473451422,3.31835967981568,3.2774522862526,3.29999999999999
0.1,3.29144107211768,3.27001026859611,3.27564950911624,3.30965042191803,3.2762145235888,3.29999999999999
0.101,3.28521048690888,3.20918827578146,3.28260853075149,3.25191430923705,3.28231682348892,3.29999999999999
0.102,3.27234013790972,3.22584874062101,3.28948114056835,3.22207185572669,3.28949479281804,3.29999999999999
0.103,3.21062538259952,3.14166953452862,3.28427095697768,3.2183558175395,3.28403577140675,3.29999999999999
0.104,3.21231626824291,3.25396424874394,3.26078420480554,3.20937155017287,3.26041520140351,3.29999999999999
0.105,3.19250563950794,3.16555895736751,3.22645872343104,3.19470839475474,3.22656272257002,3.29999999999999
0.106,2.97671673582574,3.00188579365882,3.18905487539837,3.18194936763587,3.18875191033818,3.29999999999999
0.107,3.10276367714333,3.14096371312552,3.13657509001314,3.14868679916568,3.1365094350948,3.29999999999999
0.108,3.08564762317595,3.21927202435695,3.07416586827477,3.10151468836411,3.07466150365661,3.29999999999999
0.109,1.9919020279063,2.89500982757671,2.99520166583483,3.08909281244121,2.99566775845207,3.29999999999999
0.11,2.25996095941064,1.93354551181259,2.78475898573151,3.04073088072869,2.78397606644901,3.29999999999999
0.111,2.0451791221381,1.63950937044256,2.40097269366587,2.74132973491722,2.40086058559952,3.29999999999999
0.112,0.43419950015368,0.431961795213519,1.98662694728656,2.10266761066307,1.98674279303703,3.29999999999999
0.113,-0.344844574838019,0.58143202634093,1.48997155919681,1.30381878332913,1.48999837692682,3.29999999999999
0.114,0.264525597581815,3.27990960487417,0.724943162799061,0.776554245442689,0.724929717058817,3.29999999999999
0.115,-2.03994142293087,-2.53568148055036,-0.121524836856876,0.834712572456516,0,3.29999999999999
0.116,-2.55568493534181,-2.44603727476998,-0.844894934453938,0.758396873623514,0,3.29999999999999
0.117,-1.6787340581507,-1.04378458973651,-1.58193878633629,-0.446737459448705,0,3.29999999999999
0.118,-3.20719244657232,-3.04557040664133,-2.25104264481801,-2.07570473949108,0,3.29999999999999
0.119,-3.23209730645791,-2.85539844887638,-2.62412189321691,-2.77235424048414,0,3.29999999999999
0.12,-3.27398806247617,-3.0217945731451,-2.86819534336547,-2.69373817512034,0,3.29999999999999
0.121,-3.27724061796927,-3.09828894257161,-3.16429536904077,-2.70891228714717,0,3.29999999999999
0.122,-3.27432519664678,-3.23360410985853,-3.36592813035082,-2.97731333175307,0,3.29999999999999
0.123,-3.29289734727312,-3.23097282856719,-3.36582874996591,-3.21018388651017,0,3.29999999999999
0.124,-3.29538852809298,-3.27996244207078,-3.28070335789353,-3.2765602170569,0,3.29999999999999
0.125,-3.29622445344108,-3.29295790315813,-3.24741225219059,-3.25647424019121,0,3.29999999999999
0.126,-3.29728622522607,-3.28803716650306,-3.2773940393067,-3.25178426584132,0,3.29999999999999
0.127,-3.29727238132023,-3.29620117586493,-3.3096927071876,-3.27898718990273,0,3.29999999999999
0.128,-3.29774643082278,-3.2988508898484,-3.31163684520098,-3.30275600300815,0,3.29999999999999
0.129,-3.29781254203346,-3.29933977010333,-3.29799890235971,-3.30508309224083,0,3.29999999999999
0.13,-3.2978779445202,-3.29915984697261,-3.29120266637019,-3.29796667663101,0,3.29999999999999
0.131,-3.29791072105183,-3.30024085710844,-3.29466309516516,-3.29536875530173,0,3.29999999999999
0.132,-3.29792249831267,-3.30072543454216,-3.29950023543544,-3.29827339262609,0,3.29999999999999
0.133,-3.29783504482435,-3.30075192522747,-3.30012212248253,-3.30132445452474,0,3.29999999999999
0.134,-3.2979112431546,-3.30066999116819,-3.29815587691311,-3.30180494822897,0,3.29999999999999
0.135,-3.29786817121124,-3.30079714491603,-3.29696608962715,-3.30085364564918,0,3.29999999999999
0.136,-3.29801956476724,-3.30059048251272,-3.29734505909004,-3.30027145606832,0,3.29999999999999
0.137,-3.29809251348208,-3.18227181687795,-3.29810225666754,-3.29493024484747,0,3.29999999999999
0.138,-3.29799323809904,-3.30060130208553,-3.29832544814425,-3.27438827018991,0,3.29999999999999
0.139,-3.29797533515388,-3.30059838029576,-3.29811745045417,-3.25082274032917,0,3.29999999999999
0.14,-3.29793954568084,-3.30075230039598,-3.29791781323653,-3.25642545710294,0,3.29999999999999
0.141,-3.29804637485946,-3.30055379470331,-3.29789928150485,-3.289795235658,0,3.29999999999999
0.142,-3.29819685185585,-3.30063101714068,-3.29798477037191,-3.31391892025495,0,3.29999999999999
0.143,-3.29815223043893,-3.30080873016032,-3.29808234360051,-3.31182418233226,0,3.29999999999999
0.144,-3.2982677546332,-3.30070820351374,-3.2981605155953,-3.29972960676401,0,3.29999999999999
0.145,-3.298366940107,-3.30087043987534,-3.29821817035419,-3.29514026331443,0,3.29999999999999
0.146,-3.29843110218685,-3.30088447427401,-3.29827781025357,-3.2987052729549,0,3.29999999999999
0.147,-3.29825615867614,-3.30117432887909,-3.29834756701147,-3.30251882005824,0,3.29999999999999
0.148,-3.29826834415218,-3.30099681225428,-3.29837951336316,-3.30267836978471,0,3.29999999999999
0.149,-3.29810911318036,-3.30100952305914,-3.29832875622477,-3.30105819046187,0,3.29999999999999
0.15,-3.29799887243574,-3.30077373594049,-3.29821727511149,-3.30026826608026,0,3.29999999999999
0.151,-3.29798935754936,-3.30098908929148,-3.29809696680439,-3.30061651840651,0,3.29999999999999
0.152,-3.29797310026307,-3.30095141043114,-3.29800600036159,-3.30109181288731,0,3.29999999999999
0.153,-3.29783442710878,-3.3009909100917,-3.29795771965635,-3.30114289977041,0,3.29999999999999
0.154,-3.29773363165548,-3.30094629415392,-3.29792120839013,-3.30097096744766,0,3.29999999999999
0.155,-3.29769803292419,-3.30086053009378,-3.29784981819703,-3.30087984037901,0,3.29999999999999
0.156,-3.29761042527474,-3.30050846383193,-3.2977472484766,-3.30088125159885,0,3.29999999999999
0.157,-3.29770802160293,-3.30063852891312,-3.29766338873983,-3.30082138676436,0,3.29999999999999
0.158,-3.29774317764513,-3.30081420404541,-3.29763961439951,-3.30067809705358,0,3.29999999999999
0.159,-3.29778144020417,-3.30100726398751,-3.29767908523885,-3.30061822386636,0,3.29999999999999
0.16,-3.29765628113055,-3.30113523098377,-3.29773912092117,-3.30075672287155,0,3.29999999999999
0.161,-3.2975696512072,-3.30045682829121,-3.29775185270662,-3.30096637700516,0,3.29999999999999
0.162,-3.29764342147632,-3.30101399895188,-3.29768999371345,-3.30100901832627,0,3.29999999999999
0.163,-3.29768218114514,-3.30068065177276,-3.29761253471202,-3.3008584273163,0,3.29999999999999
0.164,-3.29764651177895,-3.29840969482628,-3.29759874176937,-3.30061316298191,0,3.29999999999999
0.165,-3.29748498383892,-3.30139345220665,-3.29763531394788,-3.30022010441616,0,3.29999999999999
0.166,-3.2973725990695,-3.29954513026537,-3.2976263651402,-3.29984965906548,0,3.29999999999999
0.167,-3.2972406562615,-3.29588239808648,-3.2975172368121,-3.29966719034036,0,3.29999999999999
0.168,-3.29737485917041,-3.29558661640253,-3.2973635651856,-3.29894928027348,0,3.29999999999999
0.169,-3.29663463698221,-3.17531443829773,-3.29724002961202,-3.29156917405653,0,3.29999999999999
0.17,-3.29567399513501,-3.29721231248923,-3.29705325362229,-3.26867981009048,0,3.29999999999999
0.171,-3.29227816105286,3.29845926692832,-3.29644117728622,-2.93729718895788,0,3.29999999999999
0.172,-3.28960184765983,-3.24822344999228,-3.29491394653018,-1.77998931588123,0,3.29999999999999
0.173,-3.28786315250279,-3.22028864752724,-3.29236302488038,-0.488428638262957,0,3.29999999999999
0.174,-3.26168631645811,-3.26395947846246,-3.28833136891303,-0.808709966901783,0,3.29999999999999
0.175,-3.26776997303332,-3.19564989412515,-3.28091524066684,-2.64575880949931,0,3.29999999999999
0.176,-3.20936372552128,-3.22139557967911,-3.26808441078281,-3.96407685597347,0,3.29999999999999
0.177,-3.22119939361765,-2.86816598082804,-3.24884284287548,-3.81946766634144,0,3.29999999999999
0.178,-3.15139126518178,-2.63998205300591,-3.22382875798139,-3.05593383128045,0,3.29999999999999
0.179,-2.68801107335915,-2.20713188633758,-3.17334414385006,-2.58281076016215,0,3.29999999999999
0.18,-2.85652884816964,-2.47921166713159,-3.04922198973659,-2.4694724804104,0,3.29999999999999
0.181,-1.76653591303345,-1.57772338518763,-2.82114062393057,-2.39617134142611,0,3.29999999999999
0.182,-2.24666511798138,0.0879679339726299,-2.4954624601147,-2.09167309701012,0,3.29999999999999
0.183,-1.41379178604414,-1.67380784415236,-2.13051795703336,-1.44718311421559,0,3.29999999999999
0.184,0.24152916908357,0.394176589018749,-1.73526873937133,-0.751289996437146,0,3.29999999999999
0.185,-1.43390690437013,1.62042433620759,-1.19718700693455,-0.289451813182341,0,3.29999999999999
0.186,0.57925897437003,2.7634366513813,-0.611184229632798,0.316166872572886,0,3.29999999999999
0.187,2.55685560336276,1.34881838033387,-0.111352701122188,1.37656742404711,0,3.29999999999999
0.188,1.1649121791341,2.71694253022822,0.598729493753225,2.3019345510269,0.598751959270198,3.29999999999999
0.189,3.0721978016626,2.80525809478076,1.58433552296235,2.53509003892938,1.5836047621435,3.29999999999999
0.19,2.44183135401179,2.63939728020193,2.34523657170971,2.44445252144658,2.34552111399166,3.29999999999999
0.191,2.60517290844708,2.49833713577441,2.64079537351133,2.52836427755919,2.64096001341994,3.29999999999999
0.192,2.62200719193058,3.09238557573225,2.65879445194446,2.70556169542193,2.65862038143007,3.29999999999999
0.193,2.61887604743665,2.34537194204299,2.60124474171991,2.77318397678705,2.60173530902486,3.29999999999999
0.194,2.97701345152199,2.35382145144064,2.59694651489418,2.71686524820583,2.59702878104966,3.29999999999999
0.195,3.02209586211768,2.53097256812641,2.70580648679643,2.56183652316464,2.7055594709824,3.29999999999999
0.196,3.16473990944137,2.2551385503235,2.89815730394654,2.3969023476594,2.89766216787607,3.29999999999999
0.197,3.03718815302402,3.09598999849962,3.07534391334302,2.36506188636893,3.07561114138879,3.29999999999999
0.198,3.08834409716839,0.943608155063022,3.14670988600319,2.43840816061537,3.1472335334942,3.29999999999999
0.199,2.8924354672994,3.2091063127357,3.10733561530263,2.38831070376197,3.10721871856162,3.29999999999999
0.2,3.11659766964602,2.55357437890095,3.0257021123805,2.23224721190165,3.02574910349339,3.29999999999999
0.201,3.22626899202133,3.14429276219914,2.9920423628173,2.33529795741212,2.9918557517827,3.29999999999999
0.202,3.0241060052165,2.55193025909287,3.05143375511071,2.73177838575786,3.05137651926957,3.29999999999999
0.203,2.58515042206452,2.98605451765929,3.11222301946256,3.00312973708339,3.11258132352192,3.29999999999999
0.204,3.00420836008716,3.093782779679,3.02779398539755,2.96915797801486,3.02756771481454,3.29999999999999
0.205,2.43864479507266,2.96235710208322,2.82878084826382,2.8798284242338,2.82884936773615,3.29999999999999
0.206,2.75944215335967,2.91517163625438,2.67533774682811,2.927412117879,2.67578334238037,3.29999999999999
0.207,3.15199977989944,3.0680088425117,2.65102477749782,3.01288093072865,2.65071851079988,3.29999999999999
0.208,2.68296108989219,2.94951768119679,2.75763309257415,3.02237470246199,2.75761769487602,3.29999999999999
0.209,3.05501779681675,1.6300248991965,2.9085896583585,2.92732448169446,2.90875433512343,3.29999999999999
0.21,3.0536455769937,2.05407723970306,2.98059731429151,2.62776325440539,2.98097828850418,3.29999999999999
0.211,3.08382354846466,1.89816350229237,2.99050268058855,2.14526756634684,2.99087814147259,3.29999999999999
0.212,2.96843360706917,1.77362512835264,3.02099225923964,1.78624152536968,3.02149622665185,3.29999999999999
0.213,2.55076637228707,1.37076529218693,3.03126349414389,1.71367518239063,3.03070357623878,3.29999999999999
0.214,2.97335676983714,2.73564982585714,2.93337386811539,1.76634213704807,2.93329985872764,3.29999999999999
0.215,2.91929173868638,1.00421044902228,2.79449351822919,1.83642218987065,2.79470921133919,3.29999999999999
0.216,2.8856189629129,1.14542677248548,2.776667219549,1.83754761382432,2.77597629697903,3.29999999999999
0.217,2.86533359903413,2.69909020220214,2.87592510916075,1.65289058649717,2.87604690976665,3.29999999999999
0.218,2.60922820846186,2.23473784677607,2.92774405977966,1.56721532700645,2.9278359969372,3.29999999999999
0.219,2.94762144169172,1.95629704477888,2.85528495676571,1.90427521444156,2.85539299584341,3.29999999999999
0.22,2.70200133020895,1.03663762165465,2.75673066007518,2.2639460924594,2.756715399778,3.29999999999999
0.221,3.06330736376733,2.45880609304396,2.75237742648401,2.10887458986948,2.75213511965401,3.29999999999999
0.222,2.83038203765113,2.93225297050808,2.84013578110946,1.76367236305694,2.83965515499145,3.29999999999999
0.223,2.75621182808329,2.55054817826477,2.9200344240172,1.93828535173251,2.91964318619523,3.29999999999999
0.224,3.05610237040243,3.10614921887072,2.91595061404243,2.57965833839085,2.91534163193397,3.29999999999999
